Full Name,Best Position,Weak Foot Rating,Skill Moves,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes
Kevin Velasco,LM,3,3,82,64,66,76,59,57,68,66,51,67,52,76,64,60,62,76,82,82,80,72,81,60,60,73,48,63,58,56,73,65,62,68,59,61,62,12,8,10,6,7
Mostafa Fathi,RM,2,3,81,69,66,78,36,57,67,71,53,67,67,80,72,52,62,76,84,78,85,62,85,65,44,71,60,70,34,24,69,67,65,65,33,39,43,8,13,14,8,7
Giorgi Kvilitaia,ST,4,2,64,73,59,70,37,74,49,76,75,69,73,73,64,42,57,74,63,65,62,74,46,71,69,71,80,66,65,31,74,58,75,63,35,31,33,10,5,13,12,9
Nuno Caio Lisareda Abravanel,ST,3,2,78,74,60,73,29,60,51,75,68,67,75,74,62,45,47,72,80,77,78,72,66,77,69,68,62,68,41,29,76,72,75,77,27,23,18,7,6,9,7,11
Simon Zoller,ST,3,3,71,74,65,73,39,65,68,77,67,68,72,72,69,55,53,76,75,67,75,72,72,73,64,76,63,69,57,24,76,67,66,71,45,39,25,9,16,10,10,13
Miguel Ãngel TorrÃ©n,CB,3,2,69,49,64,59,73,76,48,44,70,73,39,53,60,60,74,60,68,69,66,72,69,54,80,71,78,51,74,74,52,60,65,68,75,71,70,13,15,9,16,11
Rodrigo Rey,GK,3,1,73,71,69,74,50,73,18,18,12,29,15,20,17,17,13,23,55,43,43,68,53,52,67,31,59,13,33,22,14,53,23,62,18,18,13,73,71,69,73,74
Nathaniel Phillips,CB,2,2,52,30,49,51,74,75,30,23,78,66,30,48,29,35,58,51,50,53,44,69,53,49,78,57,82,21,80,70,28,39,45,63,75,75,70,9,6,6,12,10
Jean-Victor Makengo,CM,3,3,66,66,72,73,73,70,69,61,70,78,69,74,66,59,74,75,70,63,65,69,70,75,62,73,69,69,69,69,67,68,59,70,70,78,74,8,9,9,8,9
Pantelis Hatzidiakos,CB,3,2,74,52,65,68,72,74,56,45,73,76,40,64,37,37,70,72,72,75,69,74,67,75,83,75,73,57,73,72,36,65,40,72,72,73,70,9,14,11,11,9
Tom Cleverley,CM,3,3,56,68,73,73,61,65,72,64,48,75,68,72,59,62,74,75,61,52,69,75,75,74,59,68,61,72,71,66,69,77,72,67,56,69,52,15,11,9,12,13
Pedro De la Vega,RM,3,4,82,70,69,75,50,71,73,67,71,72,66,75,59,64,64,73,81,82,83,66,76,77,85,75,66,72,75,50,69,67,66,73,46,47,49,8,9,15,8,9
MatÃ­as de los Santos,CB,3,2,55,55,59,62,71,82,45,48,74,72,40,60,70,71,58,64,53,57,53,65,62,72,83,66,89,59,86,68,44,45,67,73,70,73,70,13,7,9,13,7
Matt Ritchie,RM,4,4,60,72,75,75,66,65,78,68,39,75,75,76,78,69,72,76,65,55,67,73,77,76,70,61,60,77,82,69,73,73,72,73,68,71,67,15,8,11,14,13
Luis David Couprins Acuna,CDM,3,2,71,65,66,62,74,69,43,57,71,77,63,58,63,54,75,60,72,71,79,64,74,80,66,75,62,73,79,77,54,65,62,61,79,71,63,11,13,16,8,10
Douglas Augusto Soares Gomes,CAM,3,2,73,69,69,73,69,77,57,64,58,75,60,73,67,55,73,76,74,73,71,69,78,78,61,78,76,75,84,69,73,72,64,64,69,72,72,8,10,13,11,14
Aiham Ousou,CB,3,2,70,31,55,67,72,73,28,23,72,70,19,66,30,19,66,68,68,72,63,72,67,47,76,66,78,34,70,74,43,62,35,68,69,75,72,8,9,5,11,8
Kevin Bonifazi,CB,4,2,52,35,51,56,75,66,34,30,68,66,36,49,41,34,52,62,52,52,48,69,64,49,73,46,73,30,73,74,35,48,44,69,74,80,75,8,8,7,14,6
Enrique Gallego Puigsech,ST,3,3,54,76,56,67,25,71,43,79,79,65,62,68,50,50,45,73,60,49,48,70,53,77,70,53,85,70,60,20,77,65,73,74,22,17,18,10,14,10,12,10
Cristian Tarragona,ST,3,3,82,72,54,70,43,79,39,75,70,62,55,68,57,51,49,68,81,82,80,75,84,75,81,83,75,66,85,37,77,57,72,68,43,39,35,9,15,10,7,9
Ben Davies,CB,3,2,66,39,59,63,74,73,61,36,72,71,43,60,44,40,68,66,63,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,78,74,72,6,15,10,15,6
Kamil Grabara,GK,3,1,75,72,69,74,42,74,15,14,21,41,12,18,18,20,40,28,42,42,44,63,45,52,50,36,68,15,33,22,14,52,20,52,24,18,17,75,72,69,74,74
Frederico Peter Cabral Bardini,GK,2,1,73,77,69,66,46,76,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,41,31,56,14,22,15,12,67,13,62,17,14,10,73,77,69,76,66
Oliver Norwood,CDM,3,2,48,66,77,67,68,64,76,59,56,76,69,62,81,75,80,74,49,47,67,73,67,76,64,78,56,72,68,73,60,75,72,73,67,68,69,16,16,7,7,12
CÃ©dric Hountondji,CB,2,2,45,33,53,56,74,70,47,28,72,68,30,49,39,35,58,68,38,50,51,74,32,48,65,48,81,29,70,76,29,37,45,71,75,75,70,6,11,10,15,15
Dago Filipe Esteiro Cortejo,ST,4,2,64,76,52,67,25,59,38,76,73,69,69,68,42,37,42,67,64,64,60,78,60,77,62,53,70,82,36,18,76,50,62,60,19,23,19,10,12,13,6,14
Davit Khocholava,CB,3,2,55,50,54,61,73,80,38,44,73,70,32,57,44,30,68,64,54,55,58,68,63,75,73,71,86,45,78,72,48,42,45,70,72,74,72,10,9,7,9,5
Jamie Leweling,ST,3,3,82,71,61,77,33,69,64,74,58,69,65,80,55,43,49,76,85,79,79,71,77,73,55,71,75,67,57,26,73,59,55,62,33,31,23,6,11,10,14,9
Bart Schenkeveld,CB,2,2,73,40,61,66,73,77,54,34,65,69,24,62,53,33,67,71,72,74,64,68,64,55,66,75,80,35,76,72,59,58,53,70,72,76,72,8,11,15,16,9
Jonatan GÃ³mez,CAM,3,3,72,68,72,76,51,64,69,68,46,75,64,77,70,58,72,73,74,71,82,70,82,63,48,69,59,69,73,50,73,73,74,68,55,52,47,12,14,10,10,7
Tanguy Nianzou,CB,3,2,62,37,56,64,73,76,37,32,78,70,37,64,41,31,67,67,55,67,55,67,58,57,77,69,79,25,75,71,36,53,42,65,73,75,69,6,14,9,8,7
Kenneth Taylor,CAM,5,3,76,69,76,74,61,66,74,68,55,77,62,73,75,75,78,77,75,76,74,69,69,75,49,70,65,70,68,64,71,74,56,75,62,58,63,9,12,10,6,7
Jack Butland,GK,4,1,73,68,66,75,57,74,11,16,12,40,12,21,12,14,30,36,58,55,55,73,50,50,76,40,79,13,40,25,16,40,42,62,23,13,11,73,68,66,74,75
Kristoffer Olsson,CM,3,4,68,61,74,74,67,64,67,59,55,79,51,72,70,67,72,76,67,68,85,72,70,67,69,78,54,64,69,70,69,74,50,73,68,70,65,10,6,9,11,7
JÃºlio Carolino Tavares,ST,3,3,58,74,56,68,30,85,39,76,82,68,69,68,55,46,47,72,62,54,66,73,39,74,86,83,86,68,87,23,77,63,75,71,28,23,20,9,15,15,14,6
Denys Boyko,GK,3,1,75,69,75,70,49,74,11,18,18,29,7,16,11,14,41,22,49,48,58,70,28,56,71,33,79,17,38,12,9,42,15,64,19,12,11,75,69,75,74,70
Niko GieÃŸelmann,LWB,2,3,66,60,71,68,70,75,77,55,67,73,56,67,67,69,72,69,68,65,67,73,67,68,83,76,75,62,73,69,65,62,54,71,68,73,71,10,13,10,14,7
JosÃ© Antonio FerrÃ¡ndez Pomares,RM,3,4,83,68,67,74,54,49,68,74,50,75,59,76,66,55,62,73,83,83,78,65,78,70,74,65,37,56,53,56,70,59,64,62,51,58,55,7,11,6,12,12
Hyeon Woo Jo,GK,3,1,73,70,62,78,51,70,11,18,16,28,18,12,19,15,23,18,52,50,31,71,53,47,56,29,33,14,19,17,12,61,19,63,29,18,16,73,70,62,70,78
Ayoub El Kaabi,ST,2,3,74,73,60,71,35,66,59,74,73,67,76,70,60,50,42,73,75,73,72,69,72,73,80,68,72,72,46,38,76,67,64,61,35,22,27,15,10,13,13,7
Marcus Ingvartsen,ST,4,3,64,77,66,74,38,72,63,77,68,69,74,75,78,55,56,75,67,61,68,73,71,79,67,79,74,77,61,29,74,71,73,69,35,38,30,12,13,10,14,7
NicolÃ¡s Domingo,CDM,3,3,41,59,68,67,71,72,60,51,60,73,55,60,54,56,72,72,38,43,76,72,77,69,71,74,69,67,75,75,55,69,68,73,73,70,71,7,16,14,10,15
Ezequiel Piovi,CDM,3,3,76,64,69,71,71,72,60,60,55,73,55,68,69,65,70,69,81,71,80,71,84,69,73,80,69,69,69,74,68,73,69,72,70,75,70,14,14,9,13,12
Gary Medel,CB,4,3,56,50,62,68,72,76,50,37,64,72,58,63,35,45,66,67,58,55,72,79,90,65,78,69,75,59,85,75,58,65,58,78,72,74,72,14,7,9,6,6
Aleix Vidal Parreu,RM,3,3,79,66,72,75,67,71,74,68,63,74,48,75,74,52,68,75,80,78,75,73,75,78,76,76,65,57,80,67,69,72,50,73,66,68,67,8,7,8,12,12
Fernando De Paul,GK,3,1,74,66,63,75,40,73,11,15,12,39,13,18,19,12,25,35,37,44,33,72,65,47,67,36,65,12,15,24,14,64,21,66,18,12,14,74,66,63,73,75
M'Bala Nzola,ST,4,3,85,70,59,68,29,75,52,74,70,68,60,68,62,44,62,71,80,89,65,69,60,70,71,68,86,62,58,29,74,49,70,71,20,24,28,12,14,6,13,15
Kang In Lee,CAM,3,4,70,71,74,76,30,52,70,70,65,78,75,76,77,81,75,75,69,71,79,68,87,76,33,39,59,69,55,29,72,70,70,69,26,23,28,11,12,12,8,14
Stoppila Sunzu,CB,3,3,39,41,49,50,74,84,36,32,76,58,35,39,47,43,56,57,41,37,56,65,58,50,84,75,92,57,76,72,34,42,41,67,75,74,72,14,15,12,9,10
Christian GytkjÃ¦r,ST,4,3,71,74,57,69,33,72,51,74,72,62,67,66,61,55,45,73,68,73,70,74,68,77,81,64,78,70,67,32,76,61,76,75,42,16,19,11,12,12,14,15
SrÄ‘an BabiÄ‡,CB,3,2,54,40,47,52,73,76,23,35,72,65,33,46,41,40,58,62,53,54,42,70,38,57,73,58,89,41,69,68,28,36,38,71,74,74,73,14,9,11,13,6
AndrÃ© Castro Pereira,CM,2,3,67,70,71,73,69,78,66,64,55,74,62,73,71,55,72,73,68,66,74,70,71,82,71,76,77,74,83,71,70,74,63,69,69,73,71,8,16,13,6,13
Roberto Soldado Rillo,ST,4,3,48,76,69,72,44,66,64,76,76,75,79,72,70,66,58,77,50,46,62,72,58,76,74,43,71,73,82,41,81,72,79,76,38,41,40,13,13,14,9,6
Jorge Pulido Mayoral,CB,3,2,43,41,51,51,73,79,50,37,73,66,23,39,52,38,43,67,53,34,49,70,45,58,71,77,79,38,83,74,37,37,47,59,75,72,71,12,6,10,10,7
Erik Nascimento de Lima,LM,4,3,86,71,66,75,23,57,62,72,64,71,71,75,56,63,62,72,89,83,89,69,83,72,81,74,59,70,26,17,73,65,67,62,22,16,21,14,9,13,9,11
Osvaldo Murilo Lodeiro Ferreira,CB,3,2,73,49,53,54,75,69,49,43,73,53,44,44,43,45,71,63,69,77,64,73,43,57,52,41,84,51,71,69,37,47,75,70,78,76,74,11,8,10,10,9
Gautier Larsonneur,GK,2,1,72,71,72,74,52,72,18,19,14,32,20,22,15,11,30,24,51,53,60,69,65,54,70,38,59,12,25,17,17,25,21,52,15,20,12,72,71,72,72,74
Luciano Aued,CM,3,3,52,65,73,71,65,73,69,61,67,78,58,72,63,61,75,76,50,53,55,72,59,71,57,71,77,63,70,62,68,74,80,67,59,73,65,8,6,15,7,7
Emre Mor,CAM,3,4,87,65,64,83,31,57,60,64,46,67,68,86,73,62,62,78,91,84,93,64,94,67,69,63,49,68,68,28,65,62,56,69,30,28,33,13,10,7,13,6
Antonio Latorre Grueso,LB,4,3,75,56,71,71,68,60,79,55,65,72,59,70,75,38,75,71,76,75,72,70,80,64,47,63,56,53,67,67,68,64,39,64,68,70,71,7,10,13,9,9
Nathaniel Chalobah,CDM,3,3,55,61,67,72,71,72,58,54,70,75,52,73,48,46,71,75,54,55,62,69,61,75,69,62,75,68,76,72,64,71,49,71,69,73,68,12,9,15,8,8
Jean-KÃ©vin Duverne,CB,3,3,63,38,62,70,75,74,58,31,77,73,32,70,54,28,63,71,60,65,66,69,65,55,78,75,75,36,68,73,55,54,33,69,75,75,72,13,9,8,6,12
Andrea Bertolacci,CM,3,3,63,69,73,75,73,65,71,65,64,75,69,74,70,64,75,77,62,63,74,71,77,75,61,65,61,74,75,72,74,72,56,75,75,74,70,7,8,7,7,9
IÃ±igo Eguaras Ãlvarez,CDM,3,2,53,56,75,65,68,73,65,50,59,79,59,62,70,58,80,71,55,51,61,60,67,62,80,77,75,58,63,63,65,78,59,68,67,75,72,7,7,10,11,11
Francesco Bardi,GK,1,1,75,71,65,76,49,70,18,10,11,31,17,13,14,19,31,12,51,46,48,72,33,49,75,29,54,18,21,10,11,34,21,68,18,11,10,75,71,65,70,76
Vincent Manceau,CB,3,2,42,47,69,71,75,70,72,41,72,75,42,70,54,44,73,73,50,36,68,74,74,60,80,77,66,42,71,75,53,61,58,74,75,75,73,16,10,10,11,16
Yerson Candelo,RM,3,4,82,67,72,76,62,67,74,62,65,72,62,75,76,74,70,76,80,84,84,66,80,72,87,80,59,78,67,63,60,68,66,65,62,61,62,8,12,8,9,14
Rodrigo Zalazar,CAM,3,3,75,67,70,77,62,70,64,64,56,73,53,78,65,67,72,75,79,71,85,75,85,72,64,84,58,74,83,59,68,71,64,63,62,65,62,7,7,9,5,12
Lewis O'Brien,CM,2,3,69,62,66,75,69,73,56,60,53,73,52,75,42,47,66,74,74,64,79,75,85,67,68,92,63,65,77,69,68,72,42,70,67,74,73,13,13,11,7,7
Marco Mancosu,CAM,4,3,59,69,71,73,41,66,59,68,51,75,58,76,74,68,69,75,64,55,63,71,67,66,64,82,59,75,64,42,74,75,68,66,31,46,42,13,16,13,6,7
Felipe de Sousa Silva,ST,4,3,76,72,58,67,23,84,44,74,78,64,73,65,65,42,58,70,76,76,67,61,66,78,81,80,91,61,70,17,73,65,66,67,17,18,10,8,11,10,12,7
Manuel Castro,RM,3,3,77,67,71,72,52,61,69,71,54,74,52,71,68,70,71,73,80,74,75,67,78,68,62,70,60,63,54,51,71,70,58,73,50,54,54,12,12,8,14,7
Tobias Kempe,CM,3,3,65,73,77,74,52,71,82,68,49,75,70,73,83,75,73,76,68,63,72,74,68,81,64,81,72,76,56,53,66,77,81,74,53,55,43,14,13,13,13,12
Leandro GonzÃ¡lez Pirez,CB,3,2,70,48,61,67,71,80,42,42,72,72,42,66,55,39,74,70,67,73,63,70,57,59,78,78,80,49,85,71,60,59,49,70,70,70,72,14,8,8,12,13
Ander Cantero Armendariz,GK,3,1,72,74,69,73,60,75,19,12,18,35,13,22,25,12,38,21,61,58,69,61,58,52,67,45,75,14,24,22,16,33,25,43,12,12,19,72,74,69,75,73
Robert Glatzel,ST,4,2,62,73,46,65,30,77,39,76,79,54,74,65,50,38,34,71,64,61,53,74,41,77,60,78,85,60,59,24,76,48,74,69,20,28,25,10,11,14,13,9
Javier SÃ¡nchez de Felipe,CB,4,2,66,53,54,58,72,77,34,53,70,71,21,54,30,64,65,67,67,66,39,72,52,63,84,67,84,50,70,71,50,41,67,60,74,72,74,11,15,13,8,13
Tiago Rafael Maia Silva,CM,4,4,70,71,73,73,63,59,71,68,49,74,64,72,73,73,71,73,73,68,75,74,79,76,59,71,49,74,67,66,73,76,73,70,60,68,66,11,13,12,12,13
Aaron Molinas,CAM,3,3,72,57,73,76,51,59,69,56,39,75,44,75,57,60,76,76,79,67,85,71,73,60,55,75,52,60,59,54,70,80,44,74,55,52,44,9,8,10,10,15
Marius MÃ¼ller,GK,2,1,72,69,69,74,30,73,11,10,12,27,9,14,11,13,26,22,25,38,34,70,38,52,66,35,75,12,30,14,11,51,18,30,20,13,11,72,69,69,73,74
Sergio Guardiola Navarro,ST,2,3,73,73,62,74,30,77,52,75,72,72,70,75,71,55,50,75,71,75,76,61,67,74,73,72,81,70,73,28,77,65,66,65,32,19,18,11,14,11,11,11
Atakan Karazor,CB,3,2,51,36,60,63,76,70,39,35,78,74,27,59,42,31,67,69,47,55,65,66,43,47,65,69,69,29,75,74,34,64,38,70,78,75,72,12,10,6,11,5
Vitorino Pacheco Antunes,LB,3,4,69,69,74,74,70,68,80,56,67,73,69,75,82,80,71,77,68,70,69,70,69,87,61,73,65,81,73,71,69,66,61,70,70,70,67,10,7,10,9,14
Matteo Cancellieri,CAM,3,4,83,69,69,77,38,62,69,64,55,71,70,79,76,70,65,77,80,86,83,66,80,74,54,58,66,77,59,33,65,65,67,64,31,42,41,11,15,11,6,9
Leandro DÃ­az,ST,2,3,69,74,63,68,27,74,58,79,77,67,54,67,72,44,56,71,68,70,73,68,59,77,88,72,80,63,56,22,74,69,71,63,21,23,16,10,13,12,16,13
Chris Willock,CAM,3,4,83,68,67,76,29,57,67,69,57,70,64,76,68,45,57,74,83,83,86,71,73,69,62,75,58,66,33,23,72,72,60,66,24,32,19,9,10,8,9,9
John Fleck,CM,2,3,65,69,74,74,66,73,75,65,44,75,79,71,78,70,73,74,66,64,79,71,84,78,79,83,64,71,79,69,67,72,60,74,71,67,68,7,8,7,13,6
Adam Ounas,CAM,4,4,83,66,69,79,44,63,66,64,51,72,65,80,72,62,65,78,86,80,89,62,81,68,61,71,53,68,77,47,68,71,60,65,28,54,47,8,6,8,7,12
Marlon Rodrigues Xavier,LWB,2,3,79,60,62,72,66,74,72,54,43,67,53,70,81,76,64,74,77,81,72,68,83,75,65,83,69,60,78,66,69,35,45,68,70,70,69,11,13,12,8,9
Denys Garmash,CAM,3,3,67,74,74,70,67,72,68,73,67,78,52,69,64,68,76,70,66,67,67,75,76,80,59,62,71,81,88,66,73,76,62,72,69,67,64,10,13,8,15,10
SebastiÃ¡n Moyano,GK,2,1,73,69,68,74,54,72,18,20,12,34,16,23,24,19,30,25,58,48,53,71,53,51,70,38,67,17,34,27,14,32,22,44,26,13,21,73,69,68,72,74
Junling Yan,GK,1,1,72,70,69,74,49,72,16,14,19,30,16,17,20,14,30,24,53,43,33,71,45,52,75,43,72,13,16,25,15,70,21,63,13,13,13,72,70,69,72,74
Radim Å˜eznÃ­k,RB,3,3,73,60,65,67,70,77,71,60,75,67,57,67,47,47,64,68,71,74,63,72,68,62,70,76,78,57,76,70,66,64,53,67,68,71,69,11,12,10,12,10
FabiÃ¡n Noguera,CB,2,2,40,38,46,50,73,84,29,45,78,61,28,37,31,29,52,66,36,43,45,65,51,35,79,80,92,28,70,74,51,38,32,65,71,73,67,7,16,9,13,8
Alvin Severino Sousa Diniz,CAM,3,4,69,69,72,73,30,70,73,62,61,75,72,74,71,72,61,75,73,65,66,82,62,77,55,71,77,74,54,33,70,76,66,74,16,31,32,12,16,7,15,9
Lloyd Kelly,CB,3,3,72,40,62,68,74,75,64,34,71,67,35,67,44,42,65,71,68,75,62,70,63,50,71,71,78,41,73,72,58,59,45,69,73,76,74,7,8,8,11,12
Carlos Augusto Zopolato Neves,LWB,2,2,67,50,67,70,71,70,72,49,73,72,47,70,54,37,66,72,65,68,69,69,54,51,67,78,67,51,70,70,68,64,43,69,70,72,72,11,12,5,12,13
Mauro ZÃ¡rate,ST,4,4,72,75,69,79,35,66,66,74,55,73,73,80,79,80,62,79,71,73,81,76,73,78,69,67,65,77,66,36,75,67,74,74,35,30,30,7,16,16,6,12
Ryan Thomas,CM,4,3,71,65,71,76,61,66,66,65,42,75,61,76,62,63,73,77,75,68,75,72,74,68,77,72,60,63,73,72,69,74,63,72,62,58,59,10,12,6,8,9
Jorman Campuzano,CDM,3,2,72,40,60,65,72,72,36,30,57,72,42,59,38,41,69,67,74,71,73,70,73,56,73,80,66,47,76,73,35,67,36,68,72,74,74,15,8,15,5,6
Mark Travers,GK,2,1,73,69,70,76,40,73,16,14,15,50,13,13,14,14,44,19,41,38,39,69,47,53,63,30,60,13,23,13,11,47,18,47,14,15,14,73,69,70,73,76
Saad Bguir,CAM,3,3,69,70,71,75,33,64,69,71,48,72,57,76,72,74,69,75,71,68,76,71,69,69,57,80,63,70,50,30,73,71,69,68,28,34,37,10,10,13,5,6
Denis Vavro,CB,3,2,64,56,57,60,72,80,40,45,73,69,39,57,45,59,67,64,60,68,56,65,67,78,73,67,86,64,81,72,55,50,57,68,71,71,73,13,12,14,12,13
FabrÃ­cio Sandro Arnoia Sepa,RW,3,4,80,65,67,73,27,58,71,65,72,79,62,75,45,48,45,71,78,81,71,71,82,63,54,57,62,64,49,22,77,68,72,72,35,12,11,8,9,15,16,8
Amir HadÅ¾iahmetoviÄ‡,CM,3,2,69,60,70,72,69,74,66,52,63,74,50,72,64,61,70,75,69,69,64,69,70,72,55,84,72,66,69,71,68,70,55,69,66,74,67,7,15,7,14,14
Stanislav Iljutcenko,ST,4,3,73,75,53,65,37,81,50,78,73,64,72,63,46,48,39,70,70,76,65,63,59,78,82,81,87,66,66,38,75,50,65,70,21,44,22,10,16,11,14,9
Pablo Solari,ST,3,4,85,72,62,74,25,66,66,75,60,65,66,74,48,65,52,72,90,80,82,72,70,71,44,72,70,70,56,18,77,63,65,66,26,20,15,11,8,13,14,6
VÃ¡gner Joshua Corraldo Santoso,LB,3,3,72,59,63,69,71,63,71,48,59,67,64,66,58,60,51,69,74,71,79,71,77,75,73,76,56,68,64,73,63,59,55,69,71,73,72,14,11,11,11,11
Kristoffer Zachariassen,CDM,3,3,77,69,69,71,67,77,62,71,67,75,60,70,57,51,71,73,76,77,73,74,68,69,80,90,72,65,73,67,77,71,59,70,68,68,63,10,14,11,10,12
Reo Hatate,CM,3,2,70,65,72,72,64,67,66,59,52,76,59,73,65,55,75,72,74,66,71,69,82,72,68,79,63,73,60,67,71,73,54,67,65,66,64,5,7,8,12,6
Mitchell Weiser,RWB,4,4,71,62,71,77,68,67,71,63,66,75,59,77,69,52,67,76,76,67,83,73,80,58,70,72,63,61,69,69,70,73,58,74,66,68,71,13,15,10,13,9
Edwin Cardona,CAM,3,3,47,75,76,73,35,70,76,72,50,74,70,72,82,83,75,82,50,44,64,66,60,82,31,49,84,80,72,38,72,79,65,72,30,34,30,15,10,7,11,15
Fabian Holland,LB,2,3,68,47,65,71,71,72,71,38,63,68,43,69,64,59,65,71,75,62,77,71,82,64,78,83,66,50,71,67,47,54,55,71,72,75,72,11,13,13,8,13
Emmanuel Gyasi,RM,3,3,77,62,65,74,44,68,70,63,52,69,50,74,59,39,54,74,80,75,75,75,76,63,58,76,71,58,54,33,74,68,61,65,48,46,43,8,13,14,12,6
Francesc FÃ bregas i Soler,CM,3,3,35,65,80,74,60,49,74,61,57,81,68,74,78,79,80,80,37,34,56,73,67,70,44,32,56,65,54,61,68,84,78,83,67,57,53,6,10,8,15,15
AndrÃ© LuÃ­s Gomes SimÃµes,CDM,3,3,72,67,70,69,73,73,63,61,70,73,60,67,68,52,73,70,72,72,70,70,74,77,77,77,72,73,69,73,59,73,65,74,71,74,74,11,15,14,12,6
Carlos Clerc MartÃ­nez,LB,2,3,84,58,68,72,66,71,73,56,62,69,48,71,75,56,63,73,79,88,76,70,73,64,72,83,69,59,62,68,72,68,50,73,64,68,67,7,14,11,10,14
AndrÃ©s IbargÃ¼en,RW,3,3,91,65,68,76,37,46,69,66,52,69,55,76,61,52,64,73,92,90,91,67,82,63,83,49,40,63,46,34,71,72,68,64,51,24,21,9,8,14,14,9
Filip KrovinoviÄ‡,CAM,4,4,67,67,74,75,61,63,65,62,54,78,66,72,76,61,74,79,65,68,76,71,75,76,54,68,60,69,68,68,69,78,62,81,63,58,52,13,7,11,5,11
Casper HÃ¸jer,LB,2,3,76,70,74,70,67,74,77,64,48,74,53,69,80,76,72,71,77,76,69,69,70,85,84,78,73,76,68,69,67,69,59,70,70,68,67,14,12,14,11,11
Jorge Renato Praceira Diniz,CB,3,2,66,40,56,61,76,73,60,36,81,59,28,61,60,52,56,63,64,68,59,64,63,51,66,71,76,38,72,72,42,47,44,46,75,76,77,15,15,15,15,15
Damir Kreilach,ST,3,3,44,74,70,72,64,82,56,75,80,75,70,71,70,76,74,75,48,40,63,79,62,78,90,82,85,73,74,58,76,72,64,74,67,62,55,14,8,8,9,13
Timothy Fosu-Mensah,CB,3,3,67,60,64,66,74,76,64,57,74,72,55,63,60,35,63,68,68,67,70,71,62,69,74,68,78,60,79,73,59,61,48,67,74,76,74,11,8,8,7,11
Pedro Filipe Rodrigues,CM,3,3,59,63,70,72,66,71,59,57,60,74,55,73,67,58,80,75,64,54,62,73,63,73,71,82,67,72,68,67,59,71,55,75,71,65,61,13,12,9,14,9
Lewis Travis,CDM,3,3,69,59,65,69,71,76,61,58,63,72,43,70,55,42,68,70,72,67,61,72,74,69,72,88,68,59,82,68,57,65,49,69,72,73,73,12,6,7,13,12
Alessandro Diamanti,CAM,2,4,56,68,77,73,33,65,77,60,54,80,74,74,74,68,74,76,61,52,67,65,69,76,48,66,69,75,60,30,75,75,68,73,32,32,28,14,7,10,14,11
Angelo Stiller,CM,3,3,66,56,74,72,68,67,64,49,63,79,45,70,66,66,76,75,65,66,73,65,73,66,69,77,62,65,64,68,61,76,42,72,68,71,68,7,14,5,9,9
Franco Fragapane,LM,3,3,88,66,68,76,36,54,63,64,43,71,69,76,73,63,67,72,89,87,91,67,89,69,68,74,53,66,27,50,64,67,69,74,36,28,23,9,11,10,12,10
Jon Gorenc StankoviÄ‡,CB,3,2,45,46,59,65,75,77,41,44,72,70,39,64,52,29,64,72,44,45,49,67,52,59,55,81,81,38,69,76,53,64,40,75,77,75,74,9,10,12,8,7
Marcos Antonio Silva Santos,CAM,3,4,84,65,71,77,59,48,64,65,43,74,53,76,66,47,77,76,85,83,90,74,72,65,53,71,44,70,30,64,75,74,47,75,67,54,52,13,11,14,11,14
Joshua Zirkzee,ST,3,3,69,74,63,75,20,70,55,77,58,70,67,76,68,66,45,79,68,69,66,69,60,73,66,63,84,71,43,14,73,70,67,74,20,14,16,6,11,12,8,14
Junior Sambia,RWB,4,3,73,69,71,73,69,70,74,64,62,71,59,74,73,76,69,72,69,76,76,67,69,85,78,76,68,71,63,70,68,68,59,69,66,73,68,9,11,14,11,16
Bartosz BereszyÅ„ski,RB,3,3,84,56,64,69,67,73,67,50,60,68,56,68,60,50,62,70,83,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,66,69,68,9,8,16,7,15
Ahmed Hassan,ST,3,3,54,74,57,69,32,78,34,75,82,69,72,69,58,44,53,71,55,53,71,70,49,79,63,66,85,65,77,39,78,65,74,76,23,23,25,15,14,8,14,11
Munir Mohand Mohamedi,GK,3,1,73,72,68,75,47,73,21,19,23,30,13,19,25,16,33,31,48,45,43,67,44,51,65,43,77,11,27,22,15,42,25,50,15,21,18,73,72,68,73,75
Jaime Seoane Valenciano,CAM,3,3,71,72,72,74,66,75,68,72,65,73,55,73,73,76,71,76,74,69,74,69,79,74,68,78,75,71,75,67,74,73,73,76,65,69,61,10,11,5,11,15
Stef Peeters,CM,4,3,54,71,77,69,63,72,75,65,63,78,76,71,81,78,76,73,62,48,53,68,62,78,68,76,69,78,76,68,69,78,68,74,63,61,56,12,13,13,14,7
